image_id,artist_id,image_title,subject,style,museum,label,image_url
e5f7e395-6d3c-47ce-bd51-4d78b5af1efb,f26b52b7-c462-4d0a-a52f-835fb2ef9cca,Faith and Reward,,Symbolism,,"24"" Long Edge | 24"" x 24""(61 cm x 61 cm) | 30"" Long Edge | 30"" x 30""(76 cm x 76 cm) | 36"" x 36""(91 cm x 91 cm) | 40"" x 40""(102 cm x 102 cm) | 48"" x 48""(122 cm x 122 cm) | 60"" x 60""(152 cm x 152 cm)",https://upload.wikimedia.org/wikipedia/commons/8/8b/Jan_Toorop_Faith_and_Reward_.JPG
b86212de-1b3f-4e5c-a6b1-1548c2e26a8b,f700158d-96cb-4221-9bf9-d4967d1d290f,Still Life,Abstract/Modern Art,,,"24"" x 24""(61 cm x 61 cm) | 30"" x 30""(76 cm x 76 cm) | 36"" x 36""(91 cm x 91 cm) | 40"" x 40""(102 cm x 102 cm) | 48"" x 48""(122 cm x 122 cm) | 60"" x 60""(152 cm x 152 cm)",https://upload.wikimedia.org/wikipedia/commons/c/c1/Still_Life_%281943%29_-_Giorgio_Morandi_%281890-1964%29_%2831260909628%29.jpg
33c89971-1424-42ee-a596-cce9c97b7a7d,de0cfa01-3b3b-46ec-86c1-887acde18e37,Millard Fillmore,U.S. Presidents,,,"16"" x 24""(41 cm x 61 cm) | 20"" x 30""(51 cm x 76 cm) | 24"" x 36""(61 cm x 91 cm) | 30"" x 46""(76 cm x 117 cm) | 36"" x 54""(91 cm x 137 cm) | 40"" x 60""(102 cm x 152 cm) | 48"" x 72""(122 cm x 183 cm)",https://upload.wikimedia.org/wikipedia/commons/6/68/FILLMORE%2C_Millard-President_%28BEP_engraved_portrait%29.jpg
6f4ecda5-d1a1-4a71-901b-4811f8e13015,0d6689c3-7f70-43a6-a5fb-48faaeff49ac,Meadowland,,Avant-Garde,,"30"" x 24""(76 cm x 61 cm) | 32"" x 26""(81 cm x 66 cm) | 36"" x 29""(91 cm x 74 cm) | 40"" x 30""(102 cm x 76 cm) | 48"" x 36""(122 cm x 91 cm) | 60"" x 48""(152 cm x 122 cm) | 68"" x 54""(173 cm x 137 cm)",https://upload.wikimedia.org/wikipedia/commons/5/54/Henri_Rousseau_-_Meadowland_-_Google_Art_Project.jpg
4ee9b69e-8cf4-4fef-8d1c-bc5311da467b,07f911ed-c0e3-49d6-80a1-0739f48df30b,Portrait of Theo Van Gogh,Portraits,Post-Impressionism,,"16"" x 24""(41 cm x 61 cm) | 20"" Long Edge | 20"" x 30""(51 cm x 76 cm) | 24"" Long Edge | 24"" x 36""(61 cm x 91 cm) | 30"" Long Edge | 30"" x 46""(76 cm x 117 cm) | 36"" Long Edge | 36"" x 54""(91 cm x 137 cm) | 40"" x 60""(102 cm x 152 cm)",https://upload.wikimedia.org/wikipedia/commons/4/4a/Vincent_van_Gogh%2C_Portrait_of_Theo_van_Gogh_%281887%29_-_02.jpg
2c978fc1-c34b-45d8-83e5-4a1072db805c,37e91e34-3df7-40d3-93f1-d3df6be025e0,Portrait of Catharine Lorillard Wolfe,Portraits,Classicism,The Metropolitan Museum of Art,"24"" x 36""(61 cm x 91 cm) | 30"" x 46""(76 cm x 117 cm) | 36"" x 54""(91 cm x 137 cm) | 40"" x 60""(102 cm x 152 cm) | 48"" x 72""(122 cm x 183 cm)",https://upload.wikimedia.org/wikipedia/commons/e/e8/Catharine_Lorillard_Wolfe_%281828%E2%80%931887%29_MET_DT11971.jpg
e16ceef8-dfce-4011-aa5b-2ac5c9f53fc0,287b8043-7d5a-4924-be7d-e52b47006e77,Isolde,,Symbolism,,"16"" x 24""(41 cm x 61 cm) | 20"" x 30""(51 cm x 76 cm) | 24"" x 36""(61 cm x 91 cm) | 30"" x 46""(76 cm x 117 cm) | 36"" x 54""(91 cm x 137 cm) | 40"" x 60""(102 cm x 152 cm) | 48"" x 72""(122 cm x 183 cm)",https://upload.wikimedia.org/wikipedia/commons/2/2a/Gaston_Brussiere23.jpg
84cba513-ef43-418b-99a4-e518ddc48263,6a4a5180-a996-4886-9911-f7f6239d929f,Her Heart is on the Ground,Horses,American Art,,"36"" x 24""(91 cm x 61 cm) | 46"" x 30""(117 cm x 76 cm) | 54"" x 36""(137 cm x 91 cm) | 60"" x 40""(152 cm x 102 cm) | 72"" x 48""(183 cm x 122 cm)",https://upload.wikimedia.org/wikipedia/commons/b/b7/Russell_-_her-heart-is-on-the-ground-1917.jpg
f5cc7782-7844-4f0f-a7e6-71b9ed2ac45a,1025c637-719e-4c5c-874e-b836910883e8,Breezing Up A Fair Wind,,American Art,National Gallery of Art,"24"" Long Edge | 30"" Long Edge | 36"" x 24""(91 cm x 61 cm) | 46"" x 30""(117 cm x 76 cm) | 54"" x 36""(137 cm x 91 cm) | 60"" x 40""(152 cm x 102 cm) | 72"" x 48""(183 cm x 122 cm)",https://upload.wikimedia.org/wikipedia/commons/d/d7/Winslow_Homer_-_Breezing_Up_%28A_Fair_Wind%29.jpg
daa5809b-09ab-45e5-815b-9efa96cf3b68,274ca966-9430-417d-9fce-89412f3a5f37,"The Seine at Port-Marly, Piles of Sand",,Impressionism,The Art Institute of Chicago,"36"" x 24""(91 cm x 61 cm) | 46"" x 30""(117 cm x 76 cm) | 54"" x 36""(137 cm x 91 cm)",https://upload.wikimedia.org/wikipedia/commons/5/57/Alfred_Sisley_-_The_Seine_at_Port-Marly%2C_Piles_of_Sand_-_1933.1177_-_Art_Institute_of_Chicago.jpg
